target	mode	pn_exit	em_exit	pn_actions	em_actions	pn_completed	em_completed	pn_vdb	em_vdb	vdb_delta	seconds
app-i18n/fcitx-configtool	--build	FAIL(3)	FAIL(1)	201	?	94	0	27	0	+27	245
app-misc/colordiff	--build	OK	OK	3	1	4	1	1	1	=	55
app-misc/bb	--build	FAIL(3)	FAIL(1)	9	0	4	1	1	1	=	123
app-misc/digitemp	--build	OK	OK	3	1	4	1	1	1	=	66
app-emacs/treesit-auto	--build	OK	FAIL(1)	22	?	22	0	7	0	+7	500
app-misc/fsniper	--build	OK	OK	3	1	4	1	1	1	=	87
app-misc/dateutils	--build	OK	OK	3	1	4	1	1	1	=	113
app-misc/gramps	--build	FAIL(3)	FAIL(1)	202	?	69	0	2	0	+2	91
app-misc/linux-logo	--build	OK	OK	3	1	4	1	1	1	=	78
app-emacs/nim-mode	--build	OK	OK	39	13	40	13	13	13	=	969
app-misc/jq	--build	OK	OK	6	2	7	2	2	2	=	197
app-metrics/go-carbon	--build	OK	OK	11	5	12	5	5	5	=	486
app-metrics/unbound-telemetry	--build	OK	OK	17	7	18	7	7	7	=	453
app-misc/fr24feed	--build	OK	OK	16	6	17	6	6	6	=	305
app-metrics/redis_exporter	--build	OK	OK	11	5	12	5	5	5	=	487
app-metrics/grok_exporter	--build	OK	OK	14	6	15	6	6	6	=	506
app-misc/sphinx	--build	FAIL(3)	FAIL(1)	3	1	1	0	0	0	=	32
app-misc/mosquitto	--build	OK	OK	10	4	11	4	4	4	=	221
app-misc/screen	--build	OK	OK	5	2	6	2	2	2	=	117
app-misc/when	--build	OK	OK	3	1	4	1	1	1	=	58
app-misc/screenie	--build	OK	OK	8	3	9	3	3	3	=	146
app-misc/ytree	--build	OK	OK	3	1	4	1	1	1	=	56
app-office/denaro	--build	FAIL(3)	FAIL(1)	314	?	106	0	2	0	+2	62
app-misc/mc	--build	OK	OK	6	2	7	2	2	2	=	360
app-misc/gojq	--build	OK	OK	7	3	8	3	3	3	=	446
app-portage/diffmask	--build	OK	OK	3	1	4	1	1	1	=	39
app-portage/unsymlink-lib	--build	FAIL(3)	FAIL(1)	11	?	3	0	0	0	=	26
app-metrics/prometheus	--build	OK	OK	13	6	14	6	6	6	=	669
app-portage/gentoolkit	--build	OK	OK	3	1	4	1	1	1	=	41
app-misc/tmux	--build	OK	OK	6	2	7	2	2	2	=	204
app-cdr/burncdda	--build	FAIL(3)	FAIL(1)	159	17	109	51	33	51	-18	2295
app-shells/dash	--build	OK	OK	3	1	4	1	1	1	=	48
